"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"Waterbury","CT","New Haven-Milford","New Haven County",42,797.5,800,775,775,762.5,750,725,725,750,800,800,800,800,800,800,800,800,787.5,775,800,775,762.5,795,795,750,775,795,800,800,800,800,825,800,800,825,800,800,812.5,800,800,800,825,800,800,800,825,825,825,825,850,850,825,825,850,862.5,850,825,850,850,850,850,850,825,825,800,825,800,825,825,825,825,825,825,850,837.5,825,850,850,850,850,850,825,825,825,850,850,850,850,850,850,850,850,850,850,855,887.5,900,850,850,862.5,850,850,899,899
"Newton","MA","Boston-Cambridge-Newton","Middlesex County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,4400,5000,5000,4900,4800,4600,4600,4700,4500,4600,4600,4500,4500,4500,4500,4400,4500,4300,4200,3500,3899.5,4500,4500,4500,5000,4950,5000,5300,5500,5000,5000,5000,4900
"Somerville","MA","Boston-Cambridge-Newton","Middlesex County",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3700,3650,3700,3600,3600,3675,3200,3200,3225,3675,3750,4000,3850,3900,3785,3462.5,3500,3175,3200,3150,3200,3600,4000,4200,4200,4200,4200,4000,4000,4000,3950,3950,3950,4000,4500,4500,4500,4250,4000,4000
"Weston","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4500,4400,4349.5,4300,4150,4200,4200,4200,4200,4492.5,4200,4400,4500,4600,4500,4322.5,4550,4550,4550,4500,4650,4575,4600,4500,4500,4500,4700
"West Hartford","CT","Hartford-West Hartford-East Hartford","Hartford County",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1425,1400,1450,1700,1572.5,1500,1525,1450,1474.5,1450,1500,1500,1500,1600,1550,1650,1600,1575,1600,1600,1500,1500,1400,1495,1495,1500,1492.5,1600,1700
"Waltham","MA","Boston-Cambridge-Newton","Middlesex County",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3775,4000,4000,4000,3612.5,3550,3350,3650,3650,3500,3600,3500,3800,3850,3900,3800,3800,3800,3850
"Brookline","MA","Boston-Cambridge-Newton","Norfolk County",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,5500,5750,6250,5500,5500,5000,5000,4995,4750,5500,6000,5975,5700,5700,5700,5500,4900,4800,4800
"Doral","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4500,4500,4200,4000,4500,4650,4500,4500,4575,4700,4800,4650,4500,4500,4500,4500,4500,4800,4700,4600,4750,4500,4500,4500,4400,4100,4400,4600,4600,4500,4800
"Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",50,,,,,2485,2495,2472.5,2400,2472.5,2500,2500,2497.5,2500,2500,2495,2499,2400,2450,2500,2500,2450,2495,2497,2450,2495,2450,2400,2400,2425,2400,2500,2500,2499,2477.5,2400,2450,2492.5,2500,2495,2495,2500,2500,2500,2500,2500,2450,2500,2500,2500,2500,2597.5,2550,2600,2600,2600,2600,2600,2600,2650,2600,2600,2600,2650,2587.5,2600,2600,2600,2685,2675,2695,2780,2695,2725,2750,2800,2750,2750,2800,2800,2800,2797.5,2795,2750,2797.5,2800,2799,2890,2800,2890,2900,2885,2900,2900,2850,2897.5,2900,2895,2967.5,2997,2950,2950,2900,2900,2925
"Beverly Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29500,28250,29500,29950,28500,27500,26000,25000,25000,25000,25000,25800,25000,26000
