"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-08-31,4287,"Cutlerville","MI","Grand Rapids-Wyoming","Kent County",4373,174200,-0.00570776255707762,-0.00457142857142857,0.0563978168587022,0.0775707482585664,0.0488714052694836,"2019-06","2019-Q2",175700,-0.00853727945361412,"2019-04"
2019-08-31,53952,"Pompton Lakes","NJ","New York-Newark-Jersey City","Passaic County",4374,323500,0.00716064757160648,0.0375240538806927,0.114364450568378,0.0523107093018205,0.00868525854808055,"2006-10","2006-Q4",393000,-0.176844783715013,"2004-08"
2019-08-31,24460,"Duson","LA","Lafayette","Lafayette Parish",4375,137500,0,-0.0036231884057971,-0.0451388888888889,0.0253883513825683,0.00318226860022741,"2018-03","2018-Q1",146500,-0.0614334470989761,"2015-05"
2019-08-31,39934,"Nappanee","IN","Elkhart-Goshen","Elkhart County",4376,163100,0.0030750307503075,0.0111593304401736,0.0902406417112299,0.0615335339992089,0.035022075358708,"2019-08","2019-Q3",163100,0,"2019-08"
2019-08-31,398181,"Canton","NY","Ogdensburg-Massena","Saint Lawrence County",4377,110800,-0.00359712230215827,-0.0107142857142857,-0.0735785953177258,0.0193000792256086,0.0130775514061365,"2018-08","2018-Q3",119600,-0.0735785953177258,"2017-10"
2019-08-31,24221,"Cornelia","GA","Cornelia","Habersham County",4378,141100,0.0100214745884037,0.0344574780058651,0.10234375,0.0651783428359241,0.0178668108046418,"2019-08","2019-Q3",141100,0,"2019-08"
2019-08-31,7729,"Waddell","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",4379,348600,0.00258843830888697,0.00635103926096998,0.04905206139031,0.0724682532812437,0.0578228685113029,"2006-07","2006-Q3",387400,-0.100154878678369,"2005-10"
2019-08-31,41271,"Traverse City","MI","Traverse City","Grand Traverse County",4380,270800,0.00296296296296296,0.0149925037481259,0.0814696485623003,0.0866878754165567,0.0718526507967243,"2019-08","2019-Q3",270800,0,"2019-08"
2019-08-31,39424,"Lighthouse Point","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",4381,476500,-0.00167609469935051,-0.0120257101389177,-0.0101786456169506,0.0585582201787642,0.0662430770194951,"2005-12","2005-Q4",543200,-0.12279086892489,"2005-05"
2019-08-31,207297,"Oak Hills","OR","Portland-Vancouver-Hillsboro","Washington County",4382,482300,-0.000828672053035011,-0.00206910821435961,0.030775806796324,0.0617157089771601,0.0435197445527133,"2019-02","2019-Q1",485500,-0.00659114315139032,"2019-01"
2019-08-31,26533,"Plainfield","CT","Worcester","Windham County",4383,199300,0.00554994954591322,0.030506721820062,0.121553179516038,0.0463492811898929,0.00912180640814686,"2006-04","2006-Q2",222300,-0.103463787674314,"2005-03"
2019-08-31,52347,"Grosse Pointe Park","MI","Detroit-Warren-Dearborn","Wayne County",4384,370400,-0.0043010752688172,-0.0214002642007926,-0.00723666577325114,0.0650377131021314,0.053332897217254,"2005-01","2005-Q1",386900,-0.0426466787283536,"2001-11"
2019-08-31,35452,"Georgetown","IN","Louisville/Jefferson County","Floyd County",4385,209900,0.00430622009569378,0.00286669851887243,0.0590312815338042,0.0589885027761199,0.0318550830411506,"2019-08","2019-Q3",209900,0,"2019-08"
2019-08-31,25242,"Indian Head","MD","Washington-Arlington-Alexandria","Charles County",4386,203100,0.000492610837438424,-0.01215953307393,-0.0469263256687001,0.0337994464775508,-0.00623104965104482,"2006-10","2006-Q4",279100,-0.272303833751344,"2004-12"
2019-08-31,23938,"Canyon","TX","Amarillo","Randall County",4387,155000,-0.00449582530507386,0.00845803513337671,0.0480054090601758,0.0390210487768736,0.030568415032822,"2019-07","2019-Q3",155700,-0.00449582530507386,"2019-06"
2019-08-31,14454,"Walkersville","MD","Washington-Arlington-Alexandria","Frederick County",4388,316900,0.0041191381495564,0.0118135376756066,0.0469111331351173,0.0327044745846008,0.0184701030170715,"2006-07","2006-Q3",361000,-0.122160664819945,"2005-04"
2019-08-31,16761,"Amherst","NH","Manchester-Nashua","Hillsborough County",4389,380300,0,0.00343007915567282,0.0245150862068966,0.046908938242755,0.0267376243483171,"2019-08","2019-Q3",380300,0,"2019-08"
2019-08-31,35241,"Cloquet","MN","Duluth","Carlton County",4390,157100,0.00705128205128205,0.0148578811369509,0.0789835164835165,0.0555319909370124,0.0241902768444218,"2019-08","2019-Q3",157100,0,"2019-08"
2019-08-31,26771,"Rising Sun","MD","Philadelphia-Camden-Wilmington","Cecil County",4391,246700,0.00162403572878603,0.0106513723883654,0.0322175732217573,0.0311710155072444,0.00835702721732745,"2006-07","2006-Q3",273900,-0.099306316173786,"2005-09"
2019-08-31,11858,"Heber Springs","AR",,"Cleburne County",4392,139300,0,-0.00783475783475784,0.0403286034353995,0.0134476970683843,0.0112957369366493,"2019-05","2019-Q2",140400,-0.00783475783475784,"2019-04"
2019-08-31,46209,"Leicester","MA","Worcester","Worcester County",4393,260300,0.00192455735180908,0.00930593253198914,0.048751007252216,0.0614350125894851,0.0259351550661742,"2019-08","2019-Q3",260300,0,"2019-08"
2019-08-31,399305,"Swatara","PA","Harrisburg-Carlisle","Dauphin County",4394,167800,-0.00415430267062315,-0.0100294985250737,0.0145102781136638,0.0265422516822265,0.00559128988869029,"2019-05","2019-Q2",169500,-0.0100294985250737,"2019-01"
2019-08-31,45705,"Hebron","IN","Chicago-Naperville-Elgin","Porter County",4395,195300,0.00618238021638331,0.014018691588785,0.0528301886792453,0.0423775836808273,0.022591365594673,"2019-08","2019-Q3",195300,0,"2019-08"
2019-08-31,251336,"Minnehaha","WA","Portland-Vancouver-Hillsboro","Clark County",4396,318200,0.00315258511979823,0.00441919191919192,0.044991789819376,0.0953572892471213,0.0540891414233649,"2019-08","2019-Q3",318200,0,"2019-08"
2019-08-31,12066,"Irvington","AL","Mobile","Mobile County",4397,119800,0.00167224080267559,0.0092670598146588,0.0118243243243243,0.067304012426818,0.0192533847691911,"2019-02","2019-Q1",124200,-0.035426731078905,"2018-10"
2019-08-31,43067,"Scott","LA","Lafayette","Lafayette Parish",4398,114500,0.0043859649122807,0.0296762589928058,0.0680970149253731,0.000875658084835917,0.0034714850859674,"2017-04","2017-Q2",132800,-0.137801204819277,"2014-09"
2019-08-31,50965,"Benson","AZ","Sierra Vista-Douglas","Cochise County",4399,153600,0.0105263157894737,0.0477489768076398,0.112237509051412,0.0579412621449977,0.010401876773743,"2007-11","2007-Q4",159000,-0.0339622641509434,"2007-06"
2019-08-31,23089,"Lansdowne","PA","Philadelphia-Camden-Wilmington","Delaware County",4400,171100,0.00706297822248381,0.0350877192982456,0.128627968337731,0.0471432813457116,0.00443105788493003,"2007-11","2007-Q4",181700,-0.0583379196477711,"2006-07"
2019-08-31,25753,"Marengo","IL","Chicago-Naperville-Elgin","McHenry County",4401,193000,-0.00258397932816538,-0.0163098878695209,0.00730688935281837,0.0532525572582894,0.00772788381735356,"2007-06","2007-Q2",239300,-0.193480986209779,"2003-08"
2019-08-31,42938,"Monmouth","OR","Salem","Polk County",4402,296900,0,0.00780719619823489,0.0539581114660987,0.0932654314902759,0.0454284756668411,"2019-08","2019-Q3",296900,0,"2019-08"
2019-08-31,12464,"Loyalsock","PA","Williamsport","Lycoming County",4403,184500,0.00985221674876847,0.0290016731734523,0.0406091370558376,0.0267324073284874,0.0255213870267512,"2019-08","2019-Q3",184500,0,"2019-08"
2019-08-31,397839,"Lakeville","MA","Boston-Cambridge-Newton","Plymouth County",4404,386500,-0.00437918598660484,-0.014030612244898,0.0072973677352098,0.0495379833801006,0.0278727312971445,"2019-02","2019-Q1",396400,-0.0249747729566095,"2018-10"
2019-08-31,15488,"Keithville","LA","Shreveport-Bossier City","Caddo Parish",4405,172900,-0.00517836593785961,-0.0136908157444381,0.0273321449792038,0.0188327271951048,0.0337185772605486,"2019-02","2019-Q1",179300,-0.0356943669827105,"2018-10"
2019-08-31,35762,"Prince George","VA","Richmond","Prince George County",4406,213500,0.00945626477541371,0.0254562920268972,0.0821084642676128,0.0441764318123194,0.0208450002381666,"2006-10","2006-Q4",214800,-0.00605214152700186,"2006-06"
2019-08-31,50297,"Poquoson","VA","Virginia Beach-Norfolk-Newport News","Poquoson City",4407,317800,0.00760938490805327,0.0146871008939974,0.0440210249671485,0.0385792198543102,0.0135429687179749,"2019-08","2019-Q3",317800,0,"2019-08"
2019-08-31,55743,"Hillsborough","CA","San Francisco-Oakland-Hayward","San Mateo County",4408,4201900,-0.00525555739684193,-0.00942973667460336,-0.0838747656215933,0.0413030869278792,0.0613474758548831,"2018-03","2018-Q1",4705400,-0.107004717983593,"2016-11"
2019-08-31,14189,"Troutville","VA","Roanoke","Botetourt County",4409,218000,0.00553505535055351,0.0177404295051354,0.0603112840466926,0.0391663283790815,0.0130979953805359,"2019-08","2019-Q3",218000,0,"2019-08"
2019-08-31,40782,"Schiller Park","IL","Chicago-Naperville-Elgin","Cook County",4410,208300,0.00192400192400192,0.00144230769230769,0.028641975308642,0.0484735799878049,0.00771031540539258,"2006-11","2006-Q4",305600,-0.318390052356021,"2002-08"
2019-08-31,53724,"Oneida","NY","Syracuse","Madison County",4411,105200,0.00669856459330144,0.0183930300096805,-0.00848256361922714,0.0219008234416338,0.0115358753079076,"2018-09","2018-Q3",106100,-0.00848256361922714,"2018-09"
